X1,X2,X3
0.351994746,0.945342214,0.384226516
0.157456207,0.823595153,0.227617
0.582393041,0.811518745,0.643751463
0.765970046,0.921422389,0.762164012
0.045076931,0.655530889,0.070379006
0.278712601,0.938163294,0.276499989
0.436714067,0.350509357,0.512252511
0.361820589,0.742346019,0.397631356
0.841384165,0.003514315,0.788175252
0.334076451,0.546918696,0.424131647
0.151037937,0.264939439,0.082208588
0.277683512,0.640315905,0.279365822
0.6345764,0.509243002,0.537459003
0.421644825,0.502013546,0.509072927
0.58381062,0.375505703,0.544540695
0.802382291,0.097585705,0.791332316
0.471327871,0.681924402,0.46173133
0.665528114,0.953978105,0.643405412
0.265240275,0.078568406,0.18867213
0.26156487,0.452383311,0.215480105
0.207437948,0.881557324,0.114249847
0.406373897,0.652136371,0.333217255
0.232020813,0.450963255,0.211502114
0.104854887,0.543735974,0.019572181
0.261446486,0.362372061,0.267876169
0.99716397,0.923788658,1.091551853
0.147231686,0.174260871,0.229749426
0.724852304,0.155298101,0.788495704
0.63354289,0.994799612,0.675588335
0.087226306,0.777112754,0.086641244
0.71292285,0.63893148,0.643935609
0.096830635,0.843431085,0.055874778
0.13334468,0.742196262,0.13638576
0.722333842,0.976111188,0.638480563
0.396465315,0.590800886,0.374967258
0.158846294,0.548648424,0.215320056
0.845105419,0.872396671,0.891349381
0.46671953,0.557988842,0.467398903
0.468766925,0.91687327,0.497314156
0.344214404,0.197290434,0.350876141
0.729003019,0.394775984,0.800301793
0.054866044,0.772226222,0.037506972
0.661727099,0.425960878,0.73190459
0.990383357,0.475219193,0.897868188
0.571644091,0.893969571,0.491467457
0.571657919,0.951415972,0.524624368
0.785447213,0.137224039,0.69070555
0.404116745,0.283399751,0.477197316
0.807167264,0.388816547,0.76936718
0.276447829,0.369793354,0.363757407
0.412852043,0.473761837,0.501698128
0.682832446,0.615022064,0.674623137
0.598246548,0.374828105,0.670295188
0.850490198,0.2797196,0.856814642
0.777799383,0.924047927,0.742881368
0.393636263,0.238155528,0.432085859
0.321585992,0.273215049,0.237825605
0.824959343,0.742883365,0.785335725
0.852136401,0.608511974,0.812176469
0.632595328,0.618612272,0.727861165
0.817038059,0.499756707,0.877206184
0.602447737,0.647283494,0.659351066
0.035460294,0.125083015,0.081707645
0.454847745,0.64968191,0.395569602
0.412836085,0.201883061,0.442017823
0.974848419,0.937081593,0.875817907
0.481192661,0.3254585,0.4839069
0.59153456,0.881827757,0.561823001
0.868543457,0.470956565,0.781336006
0.201511894,0.946904045,0.166739463
0.982790717,0.849899941,0.98082342
0.856917993,0.92854063,0.906404182
0.239293987,0.566383909,0.235808752
0.668692098,0.902753909,0.666998548
0.287564301,0.587668263,0.257771516
0.507525681,0.056533941,0.519206017
0.892992222,0.877281031,0.990244013
0.932507058,0.384004049,1.015201417
0.143234038,0.985998956,0.232690654
0.895137095,0.435231643,0.858711103
0.127559489,0.313421914,0.047431891
0.234524899,0.527788583,0.152289809
0.535325561,0.033335521,0.461639495
0.494096805,0.629044821,0.421679457
0.427740263,0.355438305,0.342899033
0.694510076,0.905640417,0.773980944
0.186238086,0.57848484,0.189155291
0.227040624,0.501056231,0.135243918
0.558503278,0.787994891,0.523099051
0.940964514,0.294240875,0.940427492
0.162904514,0.541613637,0.06362721
0.191698987,0.518939602,0.096405734
0.14364012,0.824543077,0.103632205
0.236207646,0.326137367,0.225481976
0.746167803,0.149146636,0.753564645
0.21040919,0.577827704,0.300549794
0.410215959,0.504749076,0.413935251
0.45666464,0.800278843,0.427032615
0.272169916,0.139627293,0.327781735
0.756376934,0.522164203,0.68838609
0.551048137,0.954825133,0.542251478
0.720753411,0.944232878,0.727150585
0.135502172,0.563016884,0.17803934
0.227109727,0.727120951,0.157706711
0.901584951,0.093044926,0.804745474
0.336114399,0.495775899,0.354740517
0.708858028,0.065475056,0.643693077
0.764199245,0.152975093,0.720401068
0.383078283,0.700566794,0.365374995
0.673486908,0.176533232,0.760632542
0.187536789,0.818635218,0.194326355
0.831078228,0.474442292,0.741608359
0.376219839,0.054439774,0.319152451
0.910744695,0.078312263,0.950279031
0.839302933,0.386399979,0.887461834
0.784919979,0.979245377,0.76655499
